Artist,Title,Link
Vitale D Aimo De Cavalli,St George 's Battle with the Dragon,https://www.oilpaintings.com/vitale-daimo-de-cavalli-paintings-st-george-s-battle-with-the-dragon
Jean D Alheim,A Drink On The Quay,https://www.oilpaintings.com/jean-dalheim-paintings-a-drink-on-the-quay
Baldassare D' Este,Horseman Detail,https://www.oilpaintings.com/baldassare-d-este-paintings-horseman-detail
Gillis Claesz D' Hondecoeter,"A Mountainous Landscape with a Rocky Outcrop by The Edge of a Wood, Goats and a Reindeer Resting by a Waterfall, a Village in an Extensive Landscape Beyond",https://www.oilpaintings.com/gillis-claesz-d-hondecoeter-paintings-a-mountainous-landscape-with-a-rocky-outcrop-by-the-edge-of-a-wood-goats-and-a-reindeer-resting-by-a-waterfall-a-village-in-an-extensive-landscape-beyond
Gillis Claesz D' Hondecoeter,Baptism of the Moorish Chamberlain,https://www.oilpaintings.com/gillis-claesz-d-hondecoeter-paintings-baptism-of-the-moorish-chamberlain
Gillis Claesz D' Hondecoeter,Cattle Resting in a Dune Landscape,https://www.oilpaintings.com/gillis-claesz-d-hondecoeter-paintings-cattle-resting-in-a-dune-landscape
Marco D' Oggiono,Resurrection of Christ with Sts Leonardo and Lucy,https://www.oilpaintings.com/marco-d-oggiono-paintings-resurrection-of-christ-with-sts-leonardo-and-lucy
Marco D' Oggiono,The Three Archangels,https://www.oilpaintings.com/marco-d-oggiono-paintings-the-three-archangels
Bernard D'Agesci,Lady Reading the Letters of Heloise and Abelard,https://www.oilpaintings.com/bernard-dagesci-paintings-lady-reading-the-letters-of-heloise-and-abelard
Macrino D'Alba,Figure of a Saint,https://www.oilpaintings.com/macrino-dalba-paintings-figure-of-a-saint
Giovanni D'Alemagna,Triptych,https://www.oilpaintings.com/giovanni-dalemagna-paintings-triptych
Pietro di Giovanni D'Ambrogio,Birth of St Nicholas,https://www.oilpaintings.com/pietro-di-giovanni-dambrogio-paintings-birth-of-st-nicholas
Pietro di Giovanni D'Ambrogio,Madonna Adoring the Christ Child,https://www.oilpaintings.com/pietro-di-giovanni-dambrogio-paintings-madonna-adoring-the-christ-child
Pietro di Giovanni D'Ambrogio,Entry of Christ to Jerusalem,https://www.oilpaintings.com/pietro-di-giovanni-dambrogio-paintings-entry-of-christ-to-jerusalem
Pietro di Giovanni D'Ambrogio,Departure of St Augustin,https://www.oilpaintings.com/pietro-di-giovanni-dambrogio-paintings-departure-of-st-augustin
Pietro di Giovanni D'Ambrogio,St Augustin,https://www.oilpaintings.com/pietro-di-giovanni-dambrogio-paintings-st-augustin
Pietro di Giovanni D'Ambrogio,The Virgin Mary,https://www.oilpaintings.com/pietro-di-giovanni-dambrogio-paintings-the-virgin-mary
Pietro di Giovanni D'Ambrogio,St Augustin Detail,https://www.oilpaintings.com/pietro-di-giovanni-dambrogio-paintings-st-augustin-detail
Pietro di Giovanni D'Ambrogio,The Nativity and Other Episodes from the Childhood of Christ,https://www.oilpaintings.com/pietro-di-giovanni-dambrogio-paintings-the-nativity-and-other-episodes-from-the-childhood-of-christ
Pietro di Giovanni D'Ambrogio,Virgin and Child,https://www.oilpaintings.com/pietro-di-giovanni-dambrogio-paintings-virgin-and-child
Vito D'Ancona,Portrait of Gioacchino Rossini,https://www.oilpaintings.com/vito-dancona-paintings-portrait-of-gioacchino-rossini
Andrea Di Vanni D'Andrea,Ascension of Christ,https://www.oilpaintings.com/andrea-di-vanni-dandrea-paintings-ascension-of-christ
Andrea Di Vanni D'Andrea,St Francis of Assisi Detail,https://www.oilpaintings.com/andrea-di-vanni-dandrea-paintings-st-francis-of-assisi-detail
Andrea Di Vanni D'Andrea,St Peter,https://www.oilpaintings.com/andrea-di-vanni-dandrea-paintings-st-peter
Andrea Di Vanni D'Andrea,St James the Greater Detail,https://www.oilpaintings.com/andrea-di-vanni-dandrea-paintings-st-james-the-greater-detail
Andrea Di Vanni D'Andrea,St James the Greater,https://www.oilpaintings.com/andrea-di-vanni-dandrea-paintings-st-james-the-greater
Lippo D'Andrea,St Andrew Fragment,https://www.oilpaintings.com/lippo-dandrea-di-lippo-paintings-st-andrew-fragment
Biagio D'Antonio,Arrest of Christ,https://www.oilpaintings.com/biagio-dantonio-paintings-arrest-of-christ
Biagio D'Antonio,Virgin and Child Enthroned with Five Saints and Two Angels,https://www.oilpaintings.com/biagio-dantonio-paintings-virgin-and-child-enthroned-with-five-saints-and-two-angels
Biagio D'Antonio,Madonna And Child In A Landscape,https://www.oilpaintings.com/biagio-d-antonio-paintings-madonna-and-child-in-a-landscape
Giovanni Angelo D'Antonio,St Jerome,https://www.oilpaintings.com/giovanni-angelo-dantonio-paintings-st-jerome
Giovanni Angelo D'Antonio,St John the Baptist,https://www.oilpaintings.com/giovanni-angelo-dantonio-paintings-st-john-the-baptist
Giovanni Angelo D'Antonio,The Crucifixion,https://www.oilpaintings.com/giovanni-angelo-dantonio-paintings-the-crucifixion
Lorentino D'Arezzo,St Bernardino of Siena,https://www.oilpaintings.com/lorentino-darezzo-paintings-st-bernardino-of-siena
Lorentino D'Arezzo,St Louis of Toulouse,https://www.oilpaintings.com/lorentino-darezzo-paintings-st-louis-of-toulouse
Guariento D'Arpo,Archangel,https://www.oilpaintings.com/guariento-darpo-paintings-archangel
Jacques D'Arthois,Edge of a Wood,https://www.oilpaintings.com/jacques-darthois-paintings-edge-of-a-wood
Jacques D'Arthois,Landscape with a Herd,https://www.oilpaintings.com/jacques-darthois-paintings-landscape-with-a-herd
