Artist,Title,Link
Susan Macdowell Eakins,Two Sisters,https://www.oilpaintings.com/susan-macdowell-eakins-paintings-two-sisters
Thomas Eakins,A May Morning in the Park,https://www.oilpaintings.com/thomas-eakins-paintings-a-may-morning-in-the-park
Thomas Eakins,An Actress,https://www.oilpaintings.com/thomas-eakins-paintings-an-actress
Thomas Eakins,A May Morning in the Park The Fairman Rogers Four-in-Hand,https://www.oilpaintings.com/thomas-eakins-paintings-a-may-morning-in-the-park-the-fairman-rogers-four-in-hand
Thomas Eakins,Arcadia,https://www.oilpaintings.com/thomas-eakins-paintings-arcadia
Thomas Eakins,The Chess Player,https://www.oilpaintings.com/thomas-eakins-paintings-the-chess-player
Thomas Eakins,Between Rounds,https://www.oilpaintings.com/thomas-eakins-paintings-between-rounds
Thomas Eakins,John Biglin in a Single Scull,https://www.oilpaintings.com/thomas-eakins-paintings-john-biglin-in-a-single-scull
Thomas Eakins,Baseball Players Practicing,https://www.oilpaintings.com/thomas-eakins-paintings-baseball-players-practicing
Thomas Eakins,Swimming,https://www.oilpaintings.com/thomas-eakins-paintings-swimming
Thomas Eakins,An Arcadian,https://www.oilpaintings.com/thomas-eakins-paintings-an-arcadian
Thomas Eakins,The Agnew Clinic,https://www.oilpaintings.com/thomas-eakins-paintings-the-agnew-clinic
Thomas Eakins,Max Schmitt in a Single Scull,https://www.oilpaintings.com/thomas-eakins-paintings-max-schmitt-in-a-single-scull
Thomas Eakins,The Swimming Hole,https://www.oilpaintings.com/thomas-eakins-paintings-the-swimming-hole
Thomas Eakins,A Singer Portrait of Mrs. Leigo,https://www.oilpaintings.com/thomas-eakins-paintings-a-singer-portrait-of-mrs-leigo
Thomas Eakins,Home Ranch,https://www.oilpaintings.com/thomas-eakins-paintings-home-ranch
Thomas Eakins,Baby at Play,https://www.oilpaintings.com/thomas-eakins-paintings-baby-at-play
Thomas Eakins,A Street Scene in Seville,https://www.oilpaintings.com/thomas-eakins-paintings-a-street-scene-in-seville
Thomas Eakins,Antiquated Music,https://www.oilpaintings.com/thomas-eakins-paintings-antiquated-music
