Artist,Title,Link
Carl Haag,"La Illah ill Alah There is no God, but God",https://www.oilpaintings.com/carl-haag-paintings-la-illah-ill-alah-there-is-no-god-but-god
Pieter Haaxman,Solitude,https://www.oilpaintings.com/pieter-haaxman-paintings-solitude
Pieter Haaxman,The Mandolin Player,https://www.oilpaintings.com/pieter-haaxman-paintings-the-mandolin-player
Jan Hackaert,River Scene,https://www.oilpaintings.com/jan-hackaert-paintings-river-scene
Jakob Hackert,View of the Small Marina at Sorrento,https://www.oilpaintings.com/jakob-hackert-paintings-view-of-the-small-marina-at-sorrento
Arthur Trevor Haddon,At the Gate,https://www.oilpaintings.com/arthur-trevor-haddon-paintings-at-the-gate
August Wilhelm Nikolaus Hagborg,Waiting,https://www.oilpaintings.com/august-wilhelm-nikolaus-hagborg-paintings-waiting
Louis Hague,Interior of the Great Exhibition: The Medieval Court,https://www.oilpaintings.com/louis-hague-paintings-interior-of-the-great-exhibition-the-medieval-court
Louis Hague,Interior of the Great Exhibition: The Austrian Court,https://www.oilpaintings.com/louis-hague-paintings-interior-of-the-great-exhibition-the-austrian-court
William Hahn,The Signal Fire,https://www.oilpaintings.com/william-hahn-paintings-the-signal-fire
William Hahn,Forbidden to Go Sleigh Riding,https://www.oilpaintings.com/william-hahn-paintings-forbidden-to-go-sleigh-riding
William Hahn,The Return from Glacier Point,https://www.oilpaintings.com/william-hahn-paintings-the-return-from-glacier-point
William Hahn,The Village Wedding,https://www.oilpaintings.com/william-hahn-paintings-the-village-wedding
William Hahn,"David Jacks on Horseback, Monterey Peninsula",https://www.oilpaintings.com/william-hahn-paintings-david-jacks-on-horseback-monterey-peninsula
William Hahn,The German Festival,https://www.oilpaintings.com/william-hahn-paintings-the-german-festival
William Hahn,The Trip to Glacier Point also known as The Excursion Party,https://www.oilpaintings.com/william-hahn-paintings-the-trip-to-glacier-point-also-known-as-the-excursion-party
Philip B. Hahs,Old Recollections,https://www.oilpaintings.com/philip-b-hahs-paintings-old-recollections
Ellen Day Hale,Morning News,https://www.oilpaintings.com/ellen-day-hale-paintings-morning-news
Phillip Leslie Hale,Aphrodite of the Sea Gulls,https://www.oilpaintings.com/phillip-leslie-hale-paintings-aphrodite-of-the-sea-gulls
Phillip Leslie Hale,Garden Party,https://www.oilpaintings.com/phillip-leslie-hale-paintings-garden-party
Phillip Leslie Hale,Grandmother's Birthday,https://www.oilpaintings.com/phillip-leslie-hale-paintings-grandmothers-birthday
Phillip Leslie Hale,The Art Students,https://www.oilpaintings.com/phillip-leslie-hale-paintings-the-art-students
Phillip Leslie Hale,Niagara Falls III,https://www.oilpaintings.com/phillip-leslie-hale-paintings-niagara-falls-iii
Phillip Leslie Hale,La Donna also known as Mi Velata,https://www.oilpaintings.com/phillip-leslie-hale-paintings-la-donna-also-known-as-mi-velata
Phillip Leslie Hale,Young Girl by a Stream,https://www.oilpaintings.com/phillip-leslie-hale-paintings-young-girl-by-a-stream
Cyrenius Hall,East of the Gates,https://www.oilpaintings.com/cyrenius-hall-paintings-east-of-the-gates
George Henry Hall,Still Life with Peaches and Grapes,https://www.oilpaintings.com/george-henry-hall-paintings-still-life-with-peaches-and-grapes
George Henry Hall,"The Twins, Chianti Grapes",https://www.oilpaintings.com/george-henry-hall-paintings-the-twins-chianti-grapes
George Henry Hall,Boys Pilfering Molasses,https://www.oilpaintings.com/george-henry-hall-paintings-boys-pilfering-molasses
George Henry Hall,Hanging Grapes,https://www.oilpaintings.com/george-henry-hall-paintings-hanging-grapes
George Henry Hall,"Rug Bazaar, Cairo",https://www.oilpaintings.com/george-henry-hall-paintings-rug-bazaar-cairo
George Henry Hall,Grapes on a Tabletop,https://www.oilpaintings.com/george-henry-hall-paintings-grapes-on-a-tabletop
George Henry Hall,"The Turners Shop, Palensville, Catskill Mountains",https://www.oilpaintings.com/george-henry-hall-paintings-the-turners-shop-palensville-catskill-mountains
George Henry Hall,Peaches and Grapes on a Tabletop,https://www.oilpaintings.com/george-henry-hall-paintings-peaches-and-grapes-on-a-tabletop
