Artist,Title,Link
Julius Caesar Ibbetson,"A Distant View Of Llantrisant Castle, Glamorganshire, With Figures Seated In The Foreground",https://www.oilpaintings.com/julius-caesar-ibbetson-paintings-a-distant-view-of-llantrisant-castle-glamorganshire-with-figures-seated-in-the-foreground
Julius Caesar Ibbetson,George Biggins' Ascent in Lunardi' Balloon,https://www.oilpaintings.com/julius-caesar-ibbetson-paintings-george-biggins-ascent-in-lunardi-balloon
Gustave Igler,Baby Doll's Dinner,https://www.oilpaintings.com/gustave-igler-paintings-baby-dolls-dinner
Peter Vilhelm Ilsted,The Dining Room,https://www.oilpaintings.com/peter-vilhelm-ilsted-paintings-the-dining-room
Peter Vilhelm Ilsted,The Open Door,https://www.oilpaintings.com/peter-vilhelm-ilsted-paintings-the-open-door
Peter Vilhelm Ilsted,Looking Out The Window,https://www.oilpaintings.com/peter-vilhelm-ilsted-paintings-looking-out-the-window
Peter Vilhelm Ilsted,Ved Vinduet,https://www.oilpaintings.com/peter-vilhelm-ilsted-paintings-ved-vinduet
Peter Vilhelm Ilsted,Two of the Artist's Daughters At Liselund,https://www.oilpaintings.com/peter-vilhelm-ilsted-paintings-two-of-the-artists-daughters-at-liselund
John William Inchbold,A Study In March In Early Spring,https://www.oilpaintings.com/john-william-inchbold-paintings-a-study-in-march-in-early-spring
John William Inchbold,"Springtime in Spain, near Gordella",https://www.oilpaintings.com/john-william-inchbold-paintings-springtime-in-spain-near-gordella
Filippo Indoni,Afternoon Idyll,https://www.oilpaintings.com/filippo-indoni-paintings-afternoon-idyll
Filippo Indoni,Loves Light,https://www.oilpaintings.com/filippo-indoni-paintings-loves-light
Filippo Indoni,The Declaration,https://www.oilpaintings.com/filippo-indoni-paintings-the-declaration
Filippo Indoni,The Rustic Concert,https://www.oilpaintings.com/filippo-indoni-paintings-the-rustic-concert
Filippo Indoni,The River Crossing,https://www.oilpaintings.com/filippo-indoni-paintings-the-river-crossing
Domenico Induno,The Old Musician,https://www.oilpaintings.com/domenico-induno-paintings-the-old-musician
Gerolamo Induno,Domestic Scene ,https://www.oilpaintings.com/gerolamo-induno-paintings-domestic-scene
Gerolamo Induno,La Bataille de Magenta ,https://www.oilpaintings.com/gerolamo-induno-paintings-la-bataille-de-magenta
Gerolamo Induno,The Chess Game,https://www.oilpaintings.com/gerolamo-induno-paintings-the-chess-game
Gerolamo Induno,Il Baciamano Alla Carrozza,https://www.oilpaintings.com/gerolamo-induno-paintings-il-baciamano-alla-carrozza
