Artist,Title,Link
Frederick William Jackson,Children Playing near a Cottage,https://www.oilpaintings.com/frederick-william-jackson-paintings-children-playing-near-a-cottage
Adolphe Jacobs,Les Fenaisons,https://www.oilpaintings.com/adolphe-jacobs-paintings-les-fenaisons
Jacobus Alburtus Michael Jacobs,A Moments Rest,https://www.oilpaintings.com/jacobus-alburtus-michael-jacobs-paintings-a-moments-rest
Jacobus Alburtus Michael Jacobs,Landscape in Rhodes,https://www.oilpaintings.com/jacobus-alburtus-michael-jacobs-paintings-landscape-in-rhodes
Jacobus Alburtus Michael Jacobs,On the Banks of the Nile,https://www.oilpaintings.com/jacobus-alburtus-michael-jacobs-paintings-on-the-banks-of-the-nile
Antonio Jacobsen,An American Clipper Ship Flying Cloud at Sea Under Full Sail,https://www.oilpaintings.com/antonio-jacobsen-paintings-an-american-clipper-ship-flying-cloud-at-sea-under-full-sail
Antonio Jacobsen,A Tidal Wave and Dreadnought,https://www.oilpaintings.com/antonio-jacobsen-paintings-a-tidal-wave-and-dreadnought
Antonio Jacobsen,A Ship Young America at Sea,https://www.oilpaintings.com/antonio-jacobsen-paintings-a-ship-young-america-at-sea
Antonio Jacobsen,American Bark Francis S. Hampshire,https://www.oilpaintings.com/antonio-jacobsen-paintings-american-bark-francis-s-hampshire
Antonio Jacobsen,M. Morgan Tugboat,https://www.oilpaintings.com/antonio-jacobsen-paintings-m-morgan-tugboat
Antonio Jacobsen,"Sappho vs. Livonia, Americas Cup, 1871",https://www.oilpaintings.com/antonio-jacobsen-paintings-sappho-vs-livonia-americas-cup-1871
Antonio Jacobsen,Three Masted Schooner 'Andrew C. Pierce',https://www.oilpaintings.com/antonio-jacobsen-paintings-three-masted-schooner-andrew-c-pierce
Antonio Jacobsen,Steamship Oscar II Entering New York Harbor,https://www.oilpaintings.com/antonio-jacobsen-paintings-steamship-oscar-ii-entering-new-york-harbor
Antonio Jacobsen,Onaway,https://www.oilpaintings.com/antonio-jacobsen-paintings-onaway
Antonio Jacobsen,SS Kroonland,https://www.oilpaintings.com/antonio-jacobsen-paintings-ss-kroonland
Antonio Jacobsen,A Ship's Portrait,https://www.oilpaintings.com/antonio-jacobsen-paintings-a-ships-portrait
Antonio Jacobsen,"County of Edinburgh Ashore at Point Pleasant Beach, New Jersey",https://www.oilpaintings.com/antonio-jacobsen-paintings-county-of-edinburgh-ashore-at-point-pleasant-beach-new-jersey
Antonio Jacobsen,Defender,https://www.oilpaintings.com/antonio-jacobsen-paintings-defender
Antonio Jacobsen,Montezuma,https://www.oilpaintings.com/antonio-jacobsen-paintings-montezuma
Antonio Jacobsen,Stag Harbor,https://www.oilpaintings.com/antonio-jacobsen-paintings-stag-harbor
Antonio Jacobsen,Sailing Ship St. Mary,https://www.oilpaintings.com/antonio-jacobsen-paintings-sailing-ship-st-mary
Antonio Jacobsen,Schooner Marie Gilbert,https://www.oilpaintings.com/antonio-jacobsen-paintings-schooner-marie-gilbert
Antonio Jacobsen,Stormy Seas,https://www.oilpaintings.com/antonio-jacobsen-paintings-stormy-seas
Antonio Jacobsen,"Rounding the Mark, NYCC Regatta",https://www.oilpaintings.com/antonio-jacobsen-paintings-rounding-the-mark-nycc-regatta
Antonio Jacobsen,Steamship Riviera,https://www.oilpaintings.com/antonio-jacobsen-paintings-steamship-riviera
Antonio Jacobsen,Water Witch,https://www.oilpaintings.com/antonio-jacobsen-paintings-water-witch
Antonio Jacobsen,The Capture of the British Frigate 'Macedonian' in the War of 1812 by the JS Frigate 'United States',https://www.oilpaintings.com/antonio-jacobsen-paintings-the-capture-of-the-british-frigate-macedonian-in-the-war-of-1812-by-the-js-frigate-united-states
Antonio Jacobsen,Grayling Leads at the Mark,https://www.oilpaintings.com/antonio-jacobsen-paintings-grayling-leads-at-the-mark
Antonio Jacobsen,Fred B. Dalzell,https://www.oilpaintings.com/antonio-jacobsen-paintings-fred-b-dalzell
Antonio Jacobsen,Lumber Schooner in New York's Lower Bay,https://www.oilpaintings.com/antonio-jacobsen-paintings-lumber-schooner-in-new-yorks-lower-bay
Antonio Jacobsen,U. S. Ship-of-The-Line,https://www.oilpaintings.com/antonio-jacobsen-paintings-u-s-ship-of-the-line
Antonio Jacobsen,"The Albany Dayliner, The Henrick Hudson",https://www.oilpaintings.com/antonio-jacobsen-paintings-the-albany-dayliner-the-henrick-hudson
Antonio Jacobsen,The Yacht Race,https://www.oilpaintings.com/antonio-jacobsen-paintings-the-yacht-race
Antonio Jacobsen,The Ocean-Going Tug 'May McWilliams',https://www.oilpaintings.com/antonio-jacobsen-paintings-the-ocean-going-tug-may-mcwilliams
Antonio Jacobsen,The Clipper Ship Triumphant,https://www.oilpaintings.com/antonio-jacobsen-paintings-the-clipper-ship-triumphant
Antonio Jacobsen,Sappho off Sandy Hook Lightship,https://www.oilpaintings.com/antonio-jacobsen-paintings-sappho-off-sandy-hook-lightship
Antonio Jacobsen,The British Ship 'Polynesian',https://www.oilpaintings.com/antonio-jacobsen-paintings-the-british-ship-polynesian
Antonio Jacobsen,The Onteora,https://www.oilpaintings.com/antonio-jacobsen-paintings-the-onteora
Antonio Jacobsen,The Celebrated American Clipper Challenge Under Full Saill,https://www.oilpaintings.com/antonio-jacobsen-paintings-the-celebrated-american-clipper-challenge-under-full-saill
Antonio Jacobsen,The Paddle Steamer Larchmont,https://www.oilpaintings.com/antonio-jacobsen-paintings-the-paddle-steamer-larchmont
Antonio Jacobsen,The American Leaving New York Harbor,https://www.oilpaintings.com/antonio-jacobsen-paintings-the-american-leaving-new-york-harbor
Antonio Jacobsen,Yacht Race,https://www.oilpaintings.com/antonio-jacobsen-paintings-yacht-race
Antonio Jacobsen,The Minnehaha,https://www.oilpaintings.com/antonio-jacobsen-paintings-the-minnehaha
Antonio Jacobsen,U.S. Army Transport Warren,https://www.oilpaintings.com/antonio-jacobsen-paintings-u-s-army-transport-warren
Antonio Jacobsen,Vision and Dauntless off Sandy Hook Lightship,https://www.oilpaintings.com/antonio-jacobsen-paintings-vision-and-dauntless-off-sandy-hook-lightship
Antonio Jacobsen,"The Yacht Defender, on a Leeward Reach by Sandy Hook",https://www.oilpaintings.com/antonio-jacobsen-paintings-the-yacht-defender-on-a-leeward-reach-by-sandy-hook
Antonio Jacobsen,The Norwegian Bark Superb Shortening Sail in Mid-ocean,https://www.oilpaintings.com/antonio-jacobsen-paintings-the-norwegian-bark-superb-shortening-sail-in-mid-ocean
Antonio Jacobsen,"The City of Berlin Steamship on High Seas, New York",https://www.oilpaintings.com/antonio-jacobsen-paintings-the-city-of-berlin-steamship-on-high-seas-new-york
Antonio Jacobsen,The Norwegian Bark Friedig at Sea Under Reduced Sail,https://www.oilpaintings.com/antonio-jacobsen-paintings-the-norwegian-bark-friedig-at-sea-under-reduced-sail
David Jacob Jacobsen,"La Place de la Madeleine, Paris",https://www.oilpaintings.com/david-jacob-jacobsen-paintings-la-place-de-la-madeleine-paris
Sophus Jacobsen,Fishing by Moonlight,https://www.oilpaintings.com/sophus-jacobsen-paintings-fishing-by-moonlight
Dirck Jacobsz,Pompeius Occo,https://www.oilpaintings.com/dirck-jacobsz-paintings-pompeius-occo
Dirck Jacobsz,Group Portrait of the Amsterdam Shooting Corporation,https://www.oilpaintings.com/dirck-jacobsz-paintings-group-portrait-of-the-amsterdam-shooting-corporation
Lambert Jacobsz.,Joseph's Brothers on the Road from Egypt,https://www.oilpaintings.com/lambert-jacobsz-paintings-josephs-brothers-on-the-road-from-egypt
Claudius Jacquand,The Count of Comminges Recognizing Adelaide,https://www.oilpaintings.com/claudius-jacquand-paintings-the-count-of-comminges-recognizing-adelaide
Charles Emile Jacque,A Shepherd and His Flock by a Pond,https://www.oilpaintings.com/charles-emile-jacque-paintings-a-shepherd-and-his-flock-by-a-pond
Charles Emile Jacque,The Shepherdess and Her Flock,https://www.oilpaintings.com/charles-emile-jacque-paintings-the-shepherdess-and-her-flock
Charles Emile Jacque,A Flock Of Sheep In A Barn,https://www.oilpaintings.com/charles-emile-jacque-paintings-a-flock-of-sheep-in-a-barn
Charles Emile Jacque,A Farmyard,https://www.oilpaintings.com/charles-emile-jacque-paintings-a-farmyard
Charles Emile Jacque,Shepherdess and Sheep,https://www.oilpaintings.com/charles-emile-jacque-paintings-shepherdess-and-sheep
Charles Emile Jacque,A Shepherd Resting,https://www.oilpaintings.com/charles-emile-jacque-paintings-a-shepherd-resting
