Artist,Title,Link
Dirck Maas,Cossacks on Horseback Asking a Hermit for Directions,https://www.oilpaintings.com/dirck-maas-paintings-cossacks-on-horseback-asking-a-hermit-for-directions
James Macbeth,A Quiet Afternoon,https://www.oilpaintings.com/james-macbeth-paintings-a-quiet-afternoon
Robert Walker Macbeth,Faire Pledges of a Fruitful Tree,https://www.oilpaintings.com/robert-walker-macbeth-paintings-faire-pledges-of-a-fruitful-tree
Robert Walker Macbeth,Summer's Day,https://www.oilpaintings.com/robert-walker-macbeth-paintings-summers-day
Andrew Maccallum,"Seasons In The Wood - Spring, The Outskirts Of Burham Wood",https://www.oilpaintings.com/andrew-maccallum-paintings-seasons-in-the-wood-spring-the-outskirts-of-burham-wood
Andrew Maccallum,"Untrodden Snow, The Terrace, Holland House, Three Miles From Charing Cross - Holland Park",https://www.oilpaintings.com/andrew-maccallum-paintings-untrodden-snow-the-terrace-holland-house-three-miles-from-charing-cross-holland-park
Girolamo Macchietti,Baths at Pozzuoli,https://www.oilpaintings.com/girolamo-macchietti-paintings-baths-at-pozzuoli
Girolamo Macchietti,Portrait of Bianca Cappello,https://www.oilpaintings.com/girolamo-macchietti-paintings-portrait-of-bianca-cappello
Georg Macco,Boats in the Port of Constantinople,https://www.oilpaintings.com/georg-macco-paintings-boats-in-the-port-of-constantinople
Frances E. Macdonald,Ophelia,https://www.oilpaintings.com/frances-e-macdonald-paintings-ophelia
James Edward Harvey Macdonald,"Clearing After Rain, Maganatawan River. Ontario",https://www.oilpaintings.com/james-edward-harvey-macdonald-paintings-clearing-after-rain-maganatawan-river-ontario
Jules Louis Machard,Jeune femme en tenue de soiree assise pres dun bouquet dhortensias,https://www.oilpaintings.com/jules-louis-machard-paintings-jeune-femme-en-tenue-de-soiree-assise-pres-dun-bouquet-dhortensias
Henry Machen,After the Battle,https://www.oilpaintings.com/henry-machen-paintings-after-the-battle
Pedro Machuca,The Virgin and Souls in Purgatory,https://www.oilpaintings.com/pedro-machuca-paintings-the-virgin-and-souls-in-purgatory
Thomas Mackay,A Young Girl Seated Near A Watermill,https://www.oilpaintings.com/thomas-mackay-paintings-a-young-girl-seated-near-a-watermill
August Macke,A Stroll on the Bridge,https://www.oilpaintings.com/august-macke-paintings-a-stroll-on-the-bridge
August Macke,Farbige Formen III,https://www.oilpaintings.com/august-macke-paintings-farbige-formen-iii
August Macke,Colored Composition also known as Homage to Johann Sebastian Bach,https://www.oilpaintings.com/august-macke-paintings-colored-composition-also-known-as-homage-to-johann-sebastian-bach
August Macke,Kairuan III,https://www.oilpaintings.com/august-macke-paintings-kairuan-iii
August Macke,Colored Forms II,https://www.oilpaintings.com/august-macke-paintings-colored-forms-ii
August Macke,Few In The Forest,https://www.oilpaintings.com/august-macke-paintings-few-in-the-forest
August Macke,Fashion Shop,https://www.oilpaintings.com/august-macke-paintings-fashion-shop
August Macke,Anglers on the Rhine,https://www.oilpaintings.com/august-macke-paintings-anglers-on-the-rhine
August Macke,Adam and Eve,https://www.oilpaintings.com/august-macke-paintings-adam-and-eve
August Macke,Bright Women in front of the Hat Shop,https://www.oilpaintings.com/august-macke-paintings-bright-women-in-front-of-the-hat-shop
August Macke,Abstract Pattern I,https://www.oilpaintings.com/august-macke-paintings-abstract-pattern-i
August Macke,"Cathedral at Freiburg, Switzerland",https://www.oilpaintings.com/august-macke-paintings-cathedral-at-freiburg-switzerland
August Macke,Church with Flags,https://www.oilpaintings.com/august-macke-paintings-church-with-flags
August Macke,Colored Forms I,https://www.oilpaintings.com/august-macke-paintings-colored-forms-i
August Macke,Courtyard of a Villa at St. Germain,https://www.oilpaintings.com/august-macke-paintings-courtyard-of-a-villa-at-st-germain
August Macke,Children under Trees in Sun,https://www.oilpaintings.com/august-macke-paintings-children-under-trees-in-sun
August Macke,"Circus Picture II: Pair of Athletes, Clown and Monkey",https://www.oilpaintings.com/august-macke-paintings-circus-picture-ii-pair-of-athletes-clown-and-monkey
August Macke,Don Quixote,https://www.oilpaintings.com/august-macke-paintings-don-quixote
August Macke,People by the Lake,https://www.oilpaintings.com/august-macke-paintings-people-by-the-lake
August Macke,Landscape with Cows and Camel,https://www.oilpaintings.com/august-macke-paintings-landscape-with-cows-and-camel
August Macke,Children with Goat,https://www.oilpaintings.com/august-macke-paintings-children-with-goat
August Macke,Landscape near Hammamet,https://www.oilpaintings.com/august-macke-paintings-landscape-near-hammamet
August Macke,Composition III,https://www.oilpaintings.com/august-macke-paintings-composition-iii
August Macke,Vegetable Fields,https://www.oilpaintings.com/august-macke-paintings-vegetable-fields
August Macke,At the Circus,https://www.oilpaintings.com/august-macke-paintings-at-the-circus
August Macke,Red House in a Park,https://www.oilpaintings.com/august-macke-paintings-red-house-in-a-park
August Macke,Tegernsee Landscape with Man Reading and Dog,https://www.oilpaintings.com/august-macke-paintings-tegernsee-landscape-with-man-reading-and-dog
August Macke,Hat Shop,https://www.oilpaintings.com/august-macke-paintings-hat-shop
August Macke,"Flowers in the Garden, Clivia and Geraniums",https://www.oilpaintings.com/august-macke-paintings-flowers-in-the-garden-clivia-and-geraniums
August Macke,Garden Restaurant,https://www.oilpaintings.com/august-macke-paintings-garden-restaurant
August Macke,Russian Ballet I,https://www.oilpaintings.com/august-macke-paintings-russian-ballet-i
August Macke,Garden Picture (also known as The Macke's Garden in Bonn),https://www.oilpaintings.com/august-macke-paintings-garden-picture-also-known-as-the-mackes-garden-in-bonn
August Macke,Houses and Fields,https://www.oilpaintings.com/august-macke-paintings-houses-and-fields
August Macke,Garden on Lake of Thun,https://www.oilpaintings.com/august-macke-paintings-garden-on-lake-of-thun
August Macke,Zoological Garden I,https://www.oilpaintings.com/august-macke-paintings-zoological-garden-i
August Macke,Walking in the Park,https://www.oilpaintings.com/august-macke-paintings-walking-in-the-park
August Macke,Girls under Trees,https://www.oilpaintings.com/august-macke-paintings-girls-under-trees
August Macke,Garden Gate,https://www.oilpaintings.com/august-macke-paintings-garden-gate
August Macke,Afternoon in the Garden,https://www.oilpaintings.com/august-macke-paintings-afternoon-in-the-garden
August Macke,"Elizabeth Gerhardt, Sewing also known as Girl Sewing",https://www.oilpaintings.com/august-macke-paintings-elizabeth-gerhardt-sewing-also-known-as-girl-sewing
August Macke,Church Decorated with Flags,https://www.oilpaintings.com/august-macke-paintings-church-decorated-with-flags
August Macke,Leave-Taking,https://www.oilpaintings.com/august-macke-paintings-leave-taking-32302
August Macke,Girls Bathing with Town in Background,https://www.oilpaintings.com/august-macke-paintings-girls-bathing-with-town-in-background-32326
August Macke,Encounter,https://www.oilpaintings.com/august-macke-paintings-encounter
August Macke,Turkish Cafe I,https://www.oilpaintings.com/august-macke-paintings-turkish-cafe-i
August Macke,Tightrope Walker,https://www.oilpaintings.com/august-macke-paintings-tightrope-walker
August Macke,On the Street,https://www.oilpaintings.com/august-macke-paintings-on-the-street
August Macke,Portrait of Franz Marc,https://www.oilpaintings.com/august-macke-paintings-portrait-of-franz-marc
August Macke,St Mary's in the Snow,https://www.oilpaintings.com/august-macke-paintings-st-marys-in-the-snow
August Macke,Staudacher's House at Tegernsee,https://www.oilpaintings.com/august-macke-paintings-staudachers-house-at-tegernsee
August Macke,Still Life with Stag Cushion and Flowers,https://www.oilpaintings.com/august-macke-paintings-still-life-with-stag-cushion-and-flowers
August Macke,Man Reading in a Park,https://www.oilpaintings.com/august-macke-paintings-man-reading-in-a-park
August Macke,Woman in Park,https://www.oilpaintings.com/august-macke-paintings-woman-in-park
August Macke,Mother and Child in the Park,https://www.oilpaintings.com/august-macke-paintings-mother-and-child-in-the-park
August Macke,"Unsere Strasse mit Reitbahn, Bonn",https://www.oilpaintings.com/august-macke-paintings-unsere-strasse-mit-reitbahn-bonn
August Macke,The Fox,https://www.oilpaintings.com/august-macke-paintings-the-fox
August Macke,Indians on Horses,https://www.oilpaintings.com/august-macke-paintings-indians-on-horses
