Artist,Title,Link
Raffaele Tafuri,On The Grand Canal,https://www.oilpaintings.com/raffaele-tafuri-paintings-on-the-grand-canal
Arthur Fitzwilliam Tait,Thoroughbred,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-thoroughbred
Arthur Fitzwilliam Tait,A Close Point,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-a-close-point
Arthur Fitzwilliam Tait,Awake Rackquette Lake,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-awake-rackquette-lake
Arthur Fitzwilliam Tait,Buck and Doe,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-buck-and-doe
Arthur Fitzwilliam Tait,Deer in the Woods,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-deer-in-the-woods
Arthur Fitzwilliam Tait,A Tempting Shot,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-a-tempting-shot
Arthur Fitzwilliam Tait,Eight Point Stag,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-eight-point-stag
Arthur Fitzwilliam Tait,The Forest: Adirondacks,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-the-forest-adirondacks
Arthur Fitzwilliam Tait,Chickens,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-chickens
Arthur Fitzwilliam Tait,Deer in Marsh,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-deer-in-marsh
Arthur Fitzwilliam Tait,Setter and Woodcock,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-setter-and-woodcock
Arthur Fitzwilliam Tait,Dog and Quail,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-dog-and-quail
Arthur Fitzwilliam Tait,American Wood Duck and Golden Eye,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-american-wood-duck-and-golden-eye
Arthur Fitzwilliam Tait,Duck Shooting,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-duck-shooting
Arthur Fitzwilliam Tait,Cocker Spaniel and Woodcock,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-cocker-spaniel-and-woodcock
Arthur Fitzwilliam Tait,Duck Shooting with Decoys,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-duck-shooting-with-decoys
Arthur Fitzwilliam Tait,Bringing Home Game: Winter Shanty at Ragged Lake,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-bringing-home-game-winter-shanty-at-ragged-lake
Arthur Fitzwilliam Tait,Deer Driving,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-deer-driving
Arthur Fitzwilliam Tait,View on Long Lake,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-view-on-long-lake
Arthur Fitzwilliam Tait,Doe and Two Fawns,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-doe-and-two-fawns
Arthur Fitzwilliam Tait,"Amos F. Adams Shooting Over Gus Bondher and Son, Count Bondher",https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-amos-f-adams-shooting-over-gus-bondher-and-son-count-bondher
Arthur Fitzwilliam Tait,Chicks and Delft Bowl,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-chicks-and-delft-bowl
Arthur Fitzwilliam Tait,Maternal Affection,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-maternal-affection
Arthur Fitzwilliam Tait,Deer--Sketch from Nature,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-deer-sketch-from-nature
Arthur Fitzwilliam Tait,Flushed: Ruffed Grouse Shooting,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-flushed-ruffed-grouse-shooting
Arthur Fitzwilliam Tait,Chicks Rather Hard Fare,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-chicks-rather-hard-fare
Arthur Fitzwilliam Tait,October in the Forest,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-october-in-the-forest
Arthur Fitzwilliam Tait,The Surprise,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-the-surprise
Arthur Fitzwilliam Tait,Hunting on the Scottish Highlands,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-hunting-on-the-scottish-highlands
Arthur Fitzwilliam Tait,Ducks at the Spring Head,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-ducks-at-the-spring-head
Arthur Fitzwilliam Tait,Sheep in Shed,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-sheep-in-shed
Arthur Fitzwilliam Tait,On a Point,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-on-a-point
Arthur Fitzwilliam Tait,Down the Road in Franklin County New York,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-down-the-road-in-franklin-county-new-york
Arthur Fitzwilliam Tait,Duck Shooting: A Good Shot,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-duck-shooting-a-good-shot
Arthur Fitzwilliam Tait,Reality,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-reality
Arthur Fitzwilliam Tait,Grouse Family,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-grouse-family
Arthur Fitzwilliam Tait,Going Out,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-going-out
Arthur Fitzwilliam Tait,Young Chickens,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-young-chickens
Arthur Fitzwilliam Tait,The Outlet of St. Regis Lake,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-the-outlet-of-st-regis-lake
Arthur Fitzwilliam Tait,On Point,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-on-point
Arthur Fitzwilliam Tait,Prarie Shooting: Find Him,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-prarie-shooting-find-him
Arthur Fitzwilliam Tait,Spaniel Chasing Ducks,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-spaniel-chasing-ducks
Arthur Fitzwilliam Tait,Mink Trapping in Northern New York,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-mink-trapping-in-northern-new-york
Arthur Fitzwilliam Tait,Trapper Looking Out,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-trapper-looking-out
Arthur Fitzwilliam Tait,"On the Qui Vive, Buck and Three Does",https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-on-the-qui-vive-buck-and-three-does
Arthur Fitzwilliam Tait,William Dodge as Pistol,https://www.oilpaintings.com/arthur-fitzwilliam-tait-paintings-william-dodge-as-pistol
Jesse Talbot,"Minnehaha Falls, Minnesota",https://www.oilpaintings.com/jesse-talbot-paintings-minnehaha-falls-minnesota
Jesse Talbot,Landscape by a River with Mountains in the Distance,https://www.oilpaintings.com/jesse-talbot-paintings-landscape-by-a-river-with-mountains-in-the-distance
Allen Butler Talcott,Pasture Oaks,https://www.oilpaintings.com/allen-butler-talcott-paintings-pasture-oaks
Cesare Tallone,Landscape with Figures,https://www.oilpaintings.com/cesare-tallone-paintings-landscape-with-figures
Henry Ossawa Tanner,The Thankful Poor,https://www.oilpaintings.com/henry-ossawa-tanner-paintings-the-thankful-poor
Henry Ossawa Tanner,Georgia Landscape,https://www.oilpaintings.com/henry-ossawa-tanner-paintings-georgia-landscape
Henry Ossawa Tanner,Landscape in Moonlight,https://www.oilpaintings.com/henry-ossawa-tanner-paintings-landscape-in-moonlight
Henry Ossawa Tanner,The Bagpipe Player,https://www.oilpaintings.com/henry-ossawa-tanner-paintings-the-bagpipe-player
Henry Ossawa Tanner,View of the Seine Looking toward Notre Dame,https://www.oilpaintings.com/henry-ossawa-tanner-paintings-view-of-the-seine-looking-toward-notre-dame
Henry Ossawa Tanner,Moroccan Man,https://www.oilpaintings.com/henry-ossawa-tanner-paintings-moroccan-man
Adrien Henri Tanoux,Title Unknown,https://www.oilpaintings.com/adrien-henri-tanoux-paintings-title-unknown
Adrien Henri Tanoux,Two Harem Beauties,https://www.oilpaintings.com/adrien-henri-tanoux-paintings-two-harem-beauties
Adrien Henri Tanoux,The Sultan's Favorite,https://www.oilpaintings.com/adrien-henri-tanoux-paintings-the-sultans-favorite
Henri Adriene Tanoux,Peasant Couple in Farmyard,https://www.oilpaintings.com/henri-adriene-tanoux-paintings-peasant-couple-in-farmyard
Henri Adriene Tanoux,The Rest,https://www.oilpaintings.com/henri-adriene-tanoux-paintings-the-rest
Leon Louis Antoine Tanzi,Clairiere Dans Une Foret,https://www.oilpaintings.com/leon-louis-antoine-tanzi-paintings-clairiere-dans-une-foret
Leon Louis Antoine Tanzi,Portrait of Mademoiselle Marie Dubois,https://www.oilpaintings.com/leon-louis-antoine-tanzi-paintings-portrait-of-mademoiselle-marie-dubois
Leon Louis Antoine Tanzi,Elegant Lady in a Black Dress,https://www.oilpaintings.com/leon-louis-antoine-tanzi-paintings-elegant-lady-in-a-black-dress
Jose Tapiro y Baro,The Good Samaritan,https://www.oilpaintings.com/josac-tapiro-y-baro-paintings-the-good-samaritan
Jose Tapiro y Baro,Cabeza de Negro,https://www.oilpaintings.com/josac-tapiro-y-baro-paintings-cabeza-de-negro
Jose Tapiro y Baro,Mujer de Color,https://www.oilpaintings.com/josac-tapiro-y-baro-paintings-mujer-de-color
Edmund Tarbell,A Girl Sewing in an Orchard,https://www.oilpaintings.com/edmund-tarbell-paintings-a-girl-sewing-in-an-orchard
Edmund Tarbell,A Portrait also Known as Madame Tarbell,https://www.oilpaintings.com/edmund-tarbell-paintings-a-portrait-also-known-as-madame-tarbell
Edmund Tarbell,Adjusting the Hat also known as Head,https://www.oilpaintings.com/edmund-tarbell-paintings-adjusting-the-hat-also-known-as-head
Edmund Tarbell,Girl and Horse,https://www.oilpaintings.com/edmund-tarbell-paintings-girl-and-horse
Edmund Tarbell,Girl with Violin also known as The Violinist,https://www.oilpaintings.com/edmund-tarbell-paintings-girl-with-violin-also-known-as-the-violinist
Edmund Tarbell,A Girl Crocheting,https://www.oilpaintings.com/edmund-tarbell-paintings-a-girl-crocheting
Edmund Tarbell,Amethyst,https://www.oilpaintings.com/edmund-tarbell-paintings-amethyst
Edmund Tarbell,Breakfast on the Piazza,https://www.oilpaintings.com/edmund-tarbell-paintings-breakfast-on-the-piazza
Edmund Tarbell,A Sketch,https://www.oilpaintings.com/edmund-tarbell-paintings-a-sketch
Edmund Tarbell,Dr. Harvey Cushing,https://www.oilpaintings.com/edmund-tarbell-paintings-dr-harvey-cushing
Edmund Tarbell,Cutting Origami,https://www.oilpaintings.com/edmund-tarbell-paintings-cutting-origami
Edmund Tarbell,Arrangement in Pink and Gray also known as Afternoon Tea,https://www.oilpaintings.com/edmund-tarbell-paintings-arrangement-in-pink-and-gray-also-known-as-afternoon-tea
Edmund Tarbell,Girl with Sailboat also known as Child with Boat,https://www.oilpaintings.com/edmund-tarbell-paintings-girl-with-sailboat-also-known-as-child-with-boat
Edmund Tarbell,In a Garden also known as The Three Sisters - A Study of June Sunlight,https://www.oilpaintings.com/edmund-tarbell-paintings-in-a-garden-also-known-as-the-three-sisters-a-study-of-june-sunlight
Edmund Tarbell,Elena,https://www.oilpaintings.com/edmund-tarbell-paintings-elena
Edmund Tarbell,Boy on the Beach,https://www.oilpaintings.com/edmund-tarbell-paintings-boy-on-the-beach
Edmund Tarbell,Girl Reading by a Window,https://www.oilpaintings.com/edmund-tarbell-paintings-girl-reading-by-a-window
Edmund Tarbell,Across the Room also known as By the Window or Leisure Hour,https://www.oilpaintings.com/edmund-tarbell-paintings-across-the-room-also-known-as-by-the-window-or-leisure-hour
Edmund Tarbell,Thoroughbred with Jockey Up,https://www.oilpaintings.com/edmund-tarbell-paintings-thoroughbred-with-jockey-up
Edmund Tarbell,Eleanor Hyde,https://www.oilpaintings.com/edmund-tarbell-paintings-eleanor-hyde
Edmund Tarbell,Benjamin Rush,https://www.oilpaintings.com/edmund-tarbell-paintings-benjamin-rush
Edmund Tarbell,Girl Mending,https://www.oilpaintings.com/edmund-tarbell-paintings-girl-mending
Edmund Tarbell,Mother and Child in a Boat,https://www.oilpaintings.com/edmund-tarbell-paintings-mother-and-child-in-a-boat
Edmund Tarbell,Paul Wells,https://www.oilpaintings.com/edmund-tarbell-paintings-paul-wells
Edmund Tarbell,Girl Crotcheting,https://www.oilpaintings.com/edmund-tarbell-paintings-girl-crotcheting
Edmund Tarbell,"My Wife, Emeline, in a Garden",https://www.oilpaintings.com/edmund-tarbell-paintings-my-wife-emeline-in-a-garden
Edmund Tarbell,Profile,https://www.oilpaintings.com/edmund-tarbell-paintings-profile
Edmund Tarbell,Marion Hiller Fenno at Nine as Mandolinata,https://www.oilpaintings.com/edmund-tarbell-paintings-marion-hiller-fenno-at-nine-as-mandolinata
Edmund Tarbell,Mother and Child in a Boat study,https://www.oilpaintings.com/edmund-tarbell-paintings-mother-and-child-in-a-boat-study
Edmund Tarbell,"Mother, Mercie, and Mary",https://www.oilpaintings.com/edmund-tarbell-paintings-mother-mercie-and-mary
Edmund Tarbell,Mother and Mary,https://www.oilpaintings.com/edmund-tarbell-paintings-mother-and-mary
Edmund Tarbell,Mercie Cutting Flowers,https://www.oilpaintings.com/edmund-tarbell-paintings-mercie-cutting-flowers
Edmund Tarbell,Study for 'Mother and Child in a Boat,https://www.oilpaintings.com/edmund-tarbell-paintings-study-for-mother-and-child-in-a-boat
Edmund Tarbell,On Bos'n's Hill,https://www.oilpaintings.com/edmund-tarbell-paintings-on-bosns-hill
Edmund Tarbell,Mrs. Horatio Nelson Slater and Her Children,https://www.oilpaintings.com/edmund-tarbell-paintings-mrs-horatio-nelson-slater-and-her-children
Edmund Tarbell,Girl with Dog also known as Mrs. Stephen Codman and Dog,https://www.oilpaintings.com/edmund-tarbell-paintings-girl-with-dog-also-known-as-mrs-stephen-codman-and-dog
Edmund Tarbell,My Sister Lydia,https://www.oilpaintings.com/edmund-tarbell-paintings-my-sister-lydia
Edmund Tarbell,Margaret Under the Elms,https://www.oilpaintings.com/edmund-tarbell-paintings-margaret-under-the-elms
Edmund Tarbell,The Blue Veil,https://www.oilpaintings.com/edmund-tarbell-paintings-the-blue-veil
Edmund Tarbell,My Children in the Woods,https://www.oilpaintings.com/edmund-tarbell-paintings-my-children-in-the-woods
Edmund Tarbell,Mother and Child in Pine Woods,https://www.oilpaintings.com/edmund-tarbell-paintings-mother-and-child-in-pine-woods
Edmund Tarbell,The Breakfast Room also known as In the Breakfast Room,https://www.oilpaintings.com/edmund-tarbell-paintings-the-breakfast-room-also-known-as-in-the-breakfast-room
Edmund Tarbell,Three Girls Reading,https://www.oilpaintings.com/edmund-tarbell-paintings-three-girls-reading
Edmund Tarbell,Mary Reading,https://www.oilpaintings.com/edmund-tarbell-paintings-mary-reading
Edmund Tarbell,Preparing for the Matinee,https://www.oilpaintings.com/edmund-tarbell-paintings-preparing-for-the-matinee
