Artist,Title,Link
Andrea Vaccaro,Assumption of the Virgin,https://www.oilpaintings.com/andrea-vaccaro-paintings-assumption-of-the-virgin
Domenico Antonio Vaccaro,Neptune and his Chariot of Horses,https://www.oilpaintings.com/domenico-antonio-vaccaro-paintings-neptune-and-his-chariot-of-horses
Charles Vacher,Above Aswan,https://www.oilpaintings.com/charles-vacher-paintings-above-aswan
Pierre-Auguste Vafflard,Young Holding His Dead Daughter in His Arms,https://www.oilpaintings.com/pierre-auguste-vafflard-paintings-young-holding-his-dead-daughter-in-his-arms
Eugene Lawrence Vail,Fishing Harbor,https://www.oilpaintings.com/eugene-lawrence-vail-paintings-fishing-harbor
Wallerant Vaillant,"Portrait of a Young Man, Bust Length, Wearing a White Linen Collar",https://www.oilpaintings.com/wallerant-vaillant-paintings-portrait-of-a-young-man-bust-length-wearing-a-white-linen-collar
Suzanne Valadon,Cat Lying in front of a Bouquet of Flowers,https://www.oilpaintings.com/suzanne-valadon-paintings-cat-lying-in-front-of-a-bouquet-of-flowers
Suzanne Valadon,View from My Window in Genets Brittany,https://www.oilpaintings.com/suzanne-valadon-paintings-view-from-my-window-in-genets-brittany
Jean Valette-Falgores,Trompe L'Oeil With A Basket Of Cherries On A Table And Engravings Tacked Up To A Wall,https://www.oilpaintings.com/jean-valette-falgores-paintings-trompe-loeil-with-a-basket-of-cherries-on-a-table-and-engravings-tacked-up-to-a-wall
Hendrik Valkenburg,By The Cradle,https://www.oilpaintings.com/hendrik-valkenburg-paintings-by-the-cradle
Anne Vallayer-Coster,"Still-Life with Tuft of Marine Plants, Shells and Corals",https://www.oilpaintings.com/anne-vallayer-coster-paintings-still-life-with-tuft-of-marine-plants-shells-and-corals
Lorenzo Valles,The Latest News,https://www.oilpaintings.com/lorenzo-valles-paintings-the-latest-news
Lorenzo Valles,Margarite and Duncan,https://www.oilpaintings.com/lorenzo-valles-paintings-margarite-and-duncan
Felix Vallotton,Chrysanthemums and Autumn Foliage,https://www.oilpaintings.com/felix-vallotton-paintings-chrysanthemums-and-autumn-foliage
Felix Vallotton,Still Life with Blue Checkered Tablecloth,https://www.oilpaintings.com/felix-vallotton-paintings-still-life-with-blue-checkered-tablecloth
Felix Vallotton,The Bistro,https://www.oilpaintings.com/felix-vallotton-paintings-the-bistro
Felix Vallotton,"Interior, Vestibule by Lamplight",https://www.oilpaintings.com/felix-vallotton-paintings-interior-vestibule-by-lamplight
Felix Vallotton,A Vallon Landscape,https://www.oilpaintings.com/felix-vallotton-paintings-a-vallon-landscape
Felix Vallotton,A Street also known as Street Corner,https://www.oilpaintings.com/felix-vallotton-paintings-a-street-also-known-as-street-corner
Felix Vallotton,"Box Seats at the Theater, the Gentleman and the Lady",https://www.oilpaintings.com/felix-vallotton-paintings-box-seats-at-the-theater-the-gentleman-and-the-lady
