Artist,Title,Link
William Frederick Yeames,A Visit to the Haunted Chamber,https://www.oilpaintings.com/william-frederick-yeames-paintings-a-visit-to-the-haunted-chamber
William Frederick Yeames,An Appeal to the Podesta,https://www.oilpaintings.com/william-frederick-yeames-paintings-an-appeal-to-the-podesta
William Frederick Yeames,The Meeting of Sir Thomas More with His Daughter after His Sentence of Death,https://www.oilpaintings.com/william-frederick-yeames-paintings-the-meeting-of-sir-thomas-more-with-his-daughter-after-his-sentence-of-death
William Frederick Yeames,The Jacobites Escape the Punch Room,https://www.oilpaintings.com/william-frederick-yeames-paintings-the-jacobites-escape-the-punch-room
William Frederick Yeames,The Path of Roses,https://www.oilpaintings.com/william-frederick-yeames-paintings-the-path-of-roses
Hosoda Yeishi,A Beautiful Woman,https://www.oilpaintings.com/hosoda-yeishi-paintings-a-beautiful-woman
Hosoda Yeishi,A Beauty in a Bed Chamber,https://www.oilpaintings.com/hosoda-yeishi-paintings-a-beauty-in-a-bed-chamber
Hosoda Yeishi,A Beauty in the Snow,https://www.oilpaintings.com/hosoda-yeishi-paintings-a-beauty-in-the-snow
Hosoda Yeishi,A Beauty Holding a Fan,https://www.oilpaintings.com/hosoda-yeishi-paintings-a-beauty-holding-a-fan
Hosoda Yeishi,Beauties on the Jewel-Boat,https://www.oilpaintings.com/hosoda-yeishi-paintings-beauties-on-the-jewel-boat
Raymond Dabb Yelland,Morning on the Shore,https://www.oilpaintings.com/raymond-dabb-yelland-paintings-morning-on-the-shore
Raymond Dabb Yelland,Half Moon Bay,https://www.oilpaintings.com/raymond-dabb-yelland-paintings-half-moon-bay
Raymond Dabb Yelland,Point Lobos from Fort Point,https://www.oilpaintings.com/raymond-dabb-yelland-paintings-point-lobos-from-fort-point
George Henry Yewell,Christmas Eve,https://www.oilpaintings.com/george-henry-yewell-paintings-christmas-eve
George Henry Yewell,Convent near Rome,https://www.oilpaintings.com/george-henry-yewell-paintings-convent-near-rome
Frans Ykens,"A Still Life Of A Pie And Sliced Lemon On Pewter Dishes, A Vase Of Flowers, A Glass Of Beer And A Wine Glass Upon A Partly Draped Table",https://www.oilpaintings.com/frans-ykens-paintings-a-still-life-of-a-pie-and-sliced-lemon-on-pewter-dishes-a-vase-of-flowers-a-glass-of-beer-and-a-wine-glass-upon-a-partly-draped-table
Frans Ykens,"A Still Life Of Peaches, Grapes, Pomegranates, Figs And Wild Strawberries In A Wan-Li Porcelain Bowl All Resting On A Tabletop",https://www.oilpaintings.com/frans-ykens-paintings-a-still-life-of-peaches-grapes-pomegranates-figs-and-wild-strawberries-in-a-wan-li-porcelain-bowl-all-resting-on-a-tabletop
Edmond Charles Joseph Yon,Au Bord de la Mer,https://www.oilpaintings.com/edmond-charles-joseph-yon-paintings-au-bord-de-la-mer
Edmond Charles Joseph Yon,Paysage De Riviere,https://www.oilpaintings.com/edmond-charles-joseph-yon-paintings-paysage-de-riviere
Edmond Charles Joseph Yon,View of Andelys,https://www.oilpaintings.com/edmond-charles-joseph-yon-paintings-view-of-andelys
